,name,concern,function
0,"
ACHILLEA MILLEFOLIUM (COMMON YARROW)
Appeared as: ARCHILLEA MILLEFOLIUM (YARROW) POWDER**
","
• Use restrictions (meets restrictions and warnings based on EWG review of company data)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
",NA
1,"
ALOE BARBADENSIS (ALOE VERA) LEAF JUICE
","
• Cancer (moderate)• Developmental/reproductive toxicity (low)• Use restrictions (meets restrictions and warnings based on EWG review of company data)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
",NA
2,"
ANANAS SATIVUS (PINEAPPLE) FRUIT EXTRACT
Appeared as: ANANAS SATIVUS (PINEAPPLE) POWDER / FRUIT EXTRACT
",NA,"not reported, skin conditioning"
3,"
ANGELICA ARCHANGELICA
Appeared as: ANGELICA ARCHANGELICA (ANGELICA) POWDER**
",NA,NA
4,"
ARNICA MONTANA (ARNICA) FLOWER
Appeared as: ARNICA MONTANA (ARNICA) FLOWER POWDER**
",NA,skin conditioning
5,"
BENZOIC ACID
","
• Use restrictions (meets restrictions and warnings based on EWG review of company data)• Non-reproductive organ system toxicity (low)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","fragrance ingredient, ph adjuster, preservative, bulking, masking"
6,"
CALENDULA OFFICINALIS (POT MARIGOLD) FLOWER
Appeared as: CALENDULA OFFICINALIS (CALENDULA) FLOWER POWDER**
",NA,"not reported, skin conditioning"
7,"
CALENDULA OFFICINALIS (POT MARIGOLD) FLOWER OIL
Appeared as: CALENDULA OFFICINALIS (CALENDULA) FLOWER OIL
","
• Multiple, additive exposure sources (low)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","fragrance ingredient, masking, skin conditioning"
8,"
CARICA PAPAYA (PAPAYA) FRUIT EXTRACT
Appeared as: CARICA PAPAYA (PAPAYA) POWDER / FRUIT EXTRACT
",NA,skin-conditioning agent - miscellaneous
9,"
CENTELLA ASIATICA (GOTU KOLA)
Appeared as: CENTELLA ASIATICA (PENNYWORT) POWDER**
",NA,NA
10,"
CETEARYL OLIVATE
","
• Use restrictions (meets restrictions and warnings based on EWG review of company data)
 

EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","hair conditioning agent, hair conditioning"
11,"
CHAMOMILLA RECUTITA (CHAMOMILE) FLOWER POWDER
Appeared as: MATRICARIA RECUTITA (CHAMOMILE) FLOWER POWDER**
","
• Developmental/reproductive toxicity (low)• Allergies/immunotoxicity (low)• Neurotoxicity (low)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
",skin conditioning
12,"
CITRUS GRANDIS (GRAPEFRUIT) SEED EXTRACT
","
• Allergies/immunotoxicity (low)• Use restrictions (meets restrictions and warnings based on EWG review of company data)• Multiple, additive exposure sources (low)• Irritation (skin, eyes, or lungs) (low)• Contamination concerns (meets restrictions and warnings based on EWG review of company data)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","preservative, astringent, skin conditioning, tonic"
13,"
CITRUS LIMON (LEMON) PEEL OIL
Appeared as: CITRUS MEDICA LIMONUM (LEMON) PEEL OIL
","
• Developmental/reproductive toxicity (low)• Allergies/immunotoxicity (high)• Use restrictions (meets restrictions and warnings based on EWG review of company data)• Persistence and bioaccumulation (moderate)• Non-reproductive organ system toxicity (low)• Ecotoxicology (low)• Irritation (skin, eyes, or lungs) (high)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
",NA
14,"
COCOS NUCIFERA (COCONUT) OIL
",NA,"fragrance ingredient, hair conditioning agent, skin-conditioning agent - miscellaneous;skin-conditioning agent - occlusive, emollient, hair conditioning, masking, skin conditioning, solvent"
15,"
COCOS NUCIFERA (COCONUT) WATER
",NA,"fragrance ingredient, masking"
16,"
CURCUMA LONGA (TURMERIC) ROOT POWDER
","
• Developmental/reproductive toxicity (low)• Non-reproductive organ system toxicity (low)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","not reported, skin conditioning"
17,"
DEHYDROACETIC ACID
","
• Non-reproductive organ system toxicity (low)• Occupational hazards (high)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
",preservative
18,"
ETHYLHEXYLGLYCERIN
","
• Allergies/immunotoxicity (low)• Non-reproductive organ system toxicity (moderate)• Ecotoxicology (low)• Irritation (skin, eyes, or lungs) (high)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","deodorant agent, skin-conditioning agent - miscellaneous, skin conditioning"
19,"
GLYCERIN
","
• Use restrictions (meets restrictions and warnings based on EWG review of company data)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","denaturant, fragrance ingredient, hair conditioning agent, humectant, oral care agent;oral health care drug, skin-conditioning agent - humectant, skin protectant, viscosity decreasing agent, perfuming, solvent"
20,"
HAMAMELIS VIRGINIANA (WITCH HAZEL)
Appeared as: HAMAMELIS VIRGINIANA (WITCH HAZEL) POWDER**
",NA,NA
21,"
HORSETAIL (EQUISETUM ARVENSE)
Appeared as: EQUISETUM HYEMALE (HORSETAIL) POWDER**
",NA,NA
22,"
HUMULUS LUPULUS (HOPS)
Appeared as: HUMULUS LUPULUS (HOPS) POWDER**
","
• Allergies/immunotoxicity (low)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","not reported, antimicrobial, astringent, emollient, skin conditioning, soothing, tonic"
23,"
HYPERICUM PERFORATUM (ST. JOHN'S WORT)
Appeared as: HYPERICUM PERFORATUM (ST. JOHN'S WORT) POWDER**
",NA,NA
24,"
JUNIPERUS COMMUNIS (JUNIPER) BERRY
Appeared as: JUNIPERUS COMMUNIS (JUNIPER) FRUIT POWDER**
",NA,NA
25,"
LAVANDULA ANGUSTIFOLIA (LAVENDER) FLOWER POWDER
",NA,"fragrance ingredient, masking"
26,"
LAVENDULA ANGUSTIFOLA (LAVENDER) FLOWER EXTRACT
",NA,fragrance ingredient
27,"
LONICERA JAPONICA (HONEYSUCKLE)
Appeared as: LONICERA JAPONICA (HONEYSUCKLE) POWDER**
",NA,NA
28,"
MELISSA OFFICINALIS (LEMON BALM) LEAF POWDER
",NA,"skin-conditioning agent - miscellaneous, skin conditioning"
29,"
MENTHA PIPERITA (PEPPERMINT) LEAF
Appeared as: MENTHA PIPERITA (PEPPERMINT) LEAF POWDER**
","
• Allergies/immunotoxicity (high)• Enhanced skin absorption• Use restrictions (meets restrictions and warnings based on EWG review of company data)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","fragrance ingredient, refreshing"
30,"
PANAX QUINQUEFOLIUM ROOT EXTRACT
Appeared as: PANAX QUINQUEFOLIUM (GINSENG) ROOT POWDER**
",NA,cosmetic astringent
31,"
PELARGONIUM GRAVEOLENS (GERANIUM) FLOWER OIL
","
• Allergies/immunotoxicity (high)• Non-reproductive organ system toxicity (moderate)• Irritation (skin, eyes, or lungs) (moderate)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","fragrance ingredient, masking"
32,"
POGOSTEMON CABLIN (PATCHOULI) OIL
",NA,"fragrance ingredient, masking"
33,"
PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL
Appeared as: PRUNUS AMYGDALUS (SWEET ALMOND) DULCIS OIL
","
• Enhanced skin absorption• Multiple, additive exposure sources (low)• Irritation (skin, eyes, or lungs) (low)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","fragrance ingredient, skin-conditioning agent - occlusive"
34,"
ROSMARINUS OFFICINALIS (ROSEMARY) LEAF POWDER
Appeared as: ROSEMARINUS OFFICINALIS (ROSEMARY) POWDER**
",NA,"flavoring agent, masking, skin conditioning"
35,"
SALVIA OFFICINALIS (SAGE) POWDER
",NA,NA
36,"
SAMBUCUS NIGRA (ELDER) FLOWER
Appeared as: SAMBUCUS NIGRA (ELDERFLOWER) FLOWER POWDER**
",NA,skin conditioning
37,"
SORBITAN OLIVATE
",NA,"surfactant - emulsifying agent, emulsifying"
38,"
TOCOPHEROL
","
• Cancer (low)• Contamination concerns (meets restrictions and warnings based on EWG review of company data)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","antioxidant, fragrance ingredient, skin-conditioning agent - miscellaneous;skin-conditioning agent - occlusive, skin conditioning"
39,"
TOCOPHERYL ACETATE
","
• Cancer (low)• Allergies/immunotoxicity (moderate)• Contamination concerns (meets restrictions and warnings based on EWG review of company data)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","antioxidant, skin-conditioning agent - miscellaneous, skin conditioning"
40,"
TOCOTRIENOL
",NA,NA
41,"
UBIQUINONE
Appeared as: UBIQUINONE (COENZYME Q10)
",NA,"antioxidant, skin-conditioning agent - miscellaneous, skin conditioning"
42,"
URTICA DIOICA (NETTLE)
Appeared as: URTICA DIOICA (NETTLE) POWDER**
",NA,"not reported, hair conditioning"
43,"
WATER
Appeared as: AQUA
",NA,solvent
44,"
XANTHAN GUM
",NA,"binder, emulsion stabilizer, skin-conditioning agent - miscellaneous, surfactant -emulsifying agent, viscosity increasing agent - aqueous, binding, emulsifying, emulsion stabilising, gel forming, skin conditioning, surfactant, viscosity controlling"
45,"
ZINGIBER OFFICINALE (GINGER) ROOT POWDER
Appeared as: ZINGIBER OFFICINALIS (GINGER) ROOT POWDER**
",NA,"skin-conditioning agent - miscellaneous, skin conditioning"
46,"
ACACIA DECURRENS FLOWER WAX
",NA,"skin-conditioning agent - emollient, skin-conditioning agent - occlusive, emollient, skin conditioning, skin protecting"
47,"
ALLYL CAPROATE
Appeared as: ALLYL CAPROATE (SWEET FRUIT)
","
• Use restrictions (meets restrictions and warnings based on EWG review of company data)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","cosmetic astringent, fragrance ingredient, astringent, emollient, masking"
48,"
AVENA SATIVA (OAT) KERNEL FLOUR
Appeared as: AVENA SATIVA KERNEL FLOUR (OAT / AVOINE)
",NA,"abrasive, absorbent, bulking agent, viscosity increasing agent - aqueous, bulking, viscosity controlling"
49,"
BUTYROSPERMUM PARKII (SHEA) BUTTER
","
• Use restrictions (meets restrictions and warnings based on EWG review of company data)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","skin-conditioning agent - miscellaneous, skin-conditioning agent - occlusive, viscosityincreasing agent - nonaqueous, skin conditioning, viscosity controlling"
50,"
CAPRYLIC/ CAPRIC TRIGLYCERIDE
",NA,"fragrance ingredient, skin-conditioning agent - occlusive"
51,"
CETEARYL ALCOHOL
",NA,"emulsion stabilizer, opacifying agent, surfactant - foam booster, viscosity increasingagent - aqueous, viscosity increasing agent - nonaqueous, emollient, emulsifying, emulsion stabilising, foam boosting, opacifying, surfactant, viscosity controlling"
52,"
CETEARYL GLUCOSIDE
","
• Allergies/immunotoxicity (low)• Use restrictions (meets restrictions and warnings based on EWG review of company data)• Endocrine disruption (low)• Irritation (skin, eyes, or lungs) (low)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","surfactant - emulsifying agent, emulsifying, surfactant"
53,"
CIS-3-HEXENYL ACETATE
Appeared as: HEXENYL ACETATE (GREEN FRUIT)
",NA,perfuming
54,"
COCO-CAPRYLATE/ CAPRATE
","
• Enhanced skin absorption• Use restrictions (meets restrictions and warnings based on EWG review of company data)• Irritation (skin, eyes, or lungs) (low)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","skin-conditioning agent - emollient, emollient, skin conditioning"
55,"
DICAPRYLYL ETHER
",NA,"skin-conditioning agent - emollient, emollient, skin conditioning, solvent"
56,"
GAMMA-DECALACTONE
Appeared as: GAMMA DECALACTONE (FRUIT)
",NA,perfuming
57,"
GERANYL ACETATE
Appeared as: GERANYL ACETATE (FLORAL)
","
• Allergies/immunotoxicity (low)• Irritation (skin, eyes, or lungs) (low)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","fragrance ingredient, perfuming, tonic"
58,"
GLYCERIN
 ","
• Use restrictions (meets restrictions and warnings based on EWG review of company data)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","denaturant, fragrance ingredient, hair conditioning agent, humectant, oral care agent;oral health care drug, skin-conditioning agent - humectant, skin protectant, viscosity decreasing agent, perfuming, solvent"
59,"
GLYCERYL MONOSTEARATE
Appeared as: GLYCERYL STEARATE
",NA,"fragrance ingredient, skin-conditioning agent - emollient, surfactant - emulsifying agent, emollient, emulsifying"
60,"
HELIANTHUS ANNUS (SUNFLOWER) SEED WAX
Appeared as: HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX
",NA,proprietary
61,"
JOJOBA ESTERS
",NA,"skin-conditioning agent - emollient, emollient, moisturising, skin conditioning, soothing"
62,"
LEVULINIC ACID
",NA,"fragrance ingredient, skin-conditioning agent - miscellaneous, perfuming, skin conditioning"
63,"
P-ANISIC ACID
","
• Multiple, additive exposure sources (low)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","flavoring agent, fragrance ingredient, masking"
64,"
PERSEA GRATISSIMA (AVOCADO) OIL
",NA,"skin-conditioning agent - occlusive, skin conditioning"
65,"
POLYGLYCERIN-3
",NA,"skin-conditioning agent - humectant, humectant"
66,"
SODIUM LEVULINATE
",NA,"skin-conditioning agent - miscellaneous, skin conditioning"
67,"
TAPIOCA STARCH
",NA,viscosity increasing agent - aqueous
68,"
WATER
Appeared as: AQUA / WATER / EAU
",NA,solvent
69,"
XANTHAN GUM
",NA,"binder, emulsion stabilizer, skin-conditioning agent - miscellaneous, surfactant -emulsifying agent, viscosity increasing agent - aqueous, binding, emulsifying, emulsion stabilising, gel forming, skin conditioning, surfactant, viscosity controlling"
70,"
ACACIA DECURRENS FLOWER WAX
",NA,"skin-conditioning agent - emollient, skin-conditioning agent - occlusive, emollient, skin conditioning, skin protecting"
71,"
ARGANIA SPINOSA (ARGAN) KERNEL OIL
Appeared as: ARGANIA SPINOSA KERNEL OIL
",NA,"skin-conditioning agent - emollient, skin-conditioning agent - miscellaneous;skin-conditioning agent - occlusive, emollient, skin conditioning"
72,"
AVENA SATIVA (OAT) KERNEL FLOUR
Appeared as: AVENA SATIVA KERNEL FLOUR (OAT / AVOINE)
",NA,"abrasive, absorbent, bulking agent, viscosity increasing agent - aqueous, bulking, viscosity controlling"
73,"
BUTYROSPERMUM PARKII (SHEA) BUTTER
","
• Use restrictions (meets restrictions and warnings based on EWG review of company data)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","skin-conditioning agent - miscellaneous, skin-conditioning agent - occlusive, viscosityincreasing agent - nonaqueous, skin conditioning, viscosity controlling"
74,"
CAPRYLIC/ CAPRIC TRIGLYCERIDE
",NA,"fragrance ingredient, skin-conditioning agent - occlusive"
75,"
CETEARYL ALCOHOL
",NA,"emulsion stabilizer, opacifying agent, surfactant - foam booster, viscosity increasingagent - aqueous, viscosity increasing agent - nonaqueous, emollient, emulsifying, emulsion stabilising, foam boosting, opacifying, surfactant, viscosity controlling"
76,"
CETEARYL GLUCOSIDE
","
• Allergies/immunotoxicity (low)• Use restrictions (meets restrictions and warnings based on EWG review of company data)• Endocrine disruption (low)• Irritation (skin, eyes, or lungs) (low)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","surfactant - emulsifying agent, emulsifying, surfactant"
77,"
COCO-CAPRYLATE/ CAPRATE
","
• Enhanced skin absorption• Use restrictions (meets restrictions and warnings based on EWG review of company data)• Irritation (skin, eyes, or lungs) (low)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","skin-conditioning agent - emollient, emollient, skin conditioning"
78,"
GLYCERIN
","
• Use restrictions (meets restrictions and warnings based on EWG review of company data)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","denaturant, fragrance ingredient, hair conditioning agent, humectant, oral care agent;oral health care drug, skin-conditioning agent - humectant, skin protectant, viscosity decreasing agent, perfuming, solvent"
79,"
GLYCERYL MONOSTEARATE
Appeared as: GLYCERYL STEARATE
",NA,"fragrance ingredient, skin-conditioning agent - emollient, surfactant - emulsifying agent, emollient, emulsifying"
80,"
HELIANTHUS ANNUS (SUNFLOWER) SEED WAX
Appeared as: HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX
",NA,proprietary
81,"
JOJOBA ESTERS
",NA,"skin-conditioning agent - emollient, emollient, moisturising, skin conditioning, soothing"
82,"
LEVULINIC ACID
",NA,"fragrance ingredient, skin-conditioning agent - miscellaneous, perfuming, skin conditioning"
83,"
LINALYL ACETATE
Appeared as: LINALYL ACETATE (FLORAL)
","
• Allergies/immunotoxicity (low)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","fragrance ingredient, masking"
84,"
P-ANISIC ACID
","
• Multiple, additive exposure sources (low)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","flavoring agent, fragrance ingredient, masking"
85,"
PENTADECALACTONE
Appeared as: PENTADECALACTONE (FRUIT)
","
• Use restrictions (meets restrictions and warnings based on EWG review of company data)• Non-reproductive organ system toxicity (moderate)• Ecotoxicology (low)


EWG has reviewed the use of this ingredient in the product formulation and found it did not pose significant health concerns. However, there may be concerns associated with the use of the ingredient in other products or formulations. Visit the ingredient page to learn more.
","fragrance ingredient, masking, perfuming"
86,"
POLYGLYCERIN-3
",NA,"skin-conditioning agent - humectant, humectant"
87,"
PROPANEDIOL DICAPRYLATE
Appeared as: PROPANEDIOL DICAPRYLATE / CAPRATE
",NA,NA
